	Title	Description	Links	Publication Date
0	Роспотребнадзор предписал МГТУ им. Баумана продлить удаленное обучение	МГТУ имени Баумана выдано предписание о продлении удаленного обучения студентов четырёх корпусов из-за опасности распространения коронавируса, сообщается на сайте столичного Роспотребнадзора в субботу.	https://yandex.ru/news/story/Rospotrebnadzor_predpisal_MGTU_im._Baumana_prodlit_udalennoe_obuchenie--91965449e96e57f32099256f0781940b?lang=ru&from=rss&wan=1&stid=9KT7WorTHK-LKEGdILMK	24 Oct 2020 13:07:43 +0000
1	В Госдуме назвали способы сделать маски и перчатки популярными	В эфире радио Sputnik депутат от ЛДПР констатировал, что не все россияне используют маски, перчатки и антисептики в общественных местах. И одна из причин игнорирования рекомендаций медиков, по его словам, финансовая - люди жалеют тратить деньги на покупку средств защиты.	https://yandex.ru/news/story/V_Gosdume_nazvali_sposoby_sdelat_maski_i_perchatki_populyarnymi--049bf53b7a6c19ac148697c962657963?lang=ru&from=rss&wan=1&stid=94RFBDgl72Rw3QN5wDjJ	23 Oct 2020 07:56:00 +0000
2	Эксперт назвал топ-5 мест, где вероятность заразиться коронавирусом больше	&quot;Люди находятся в группе риска, потому что там ты находишься долгое время в большом скоплении людей&quot;, - пояснил Зайцев. Четвертое место эксперт закрепил за кинотеатрами, театрами, концертными залами - местами, где проводятся культурно-массовые мероприятия.	https://yandex.ru/news/story/EHkspert_nazval_top-5_mest_gde_veroyatnost_zarazitsya_koronavirusom_bolshe--f88afca53ec0e7a9bb413620d19f7c7a?lang=ru&from=rss&wan=1&stid=1jJFWQswucB_wDlmnRTU	24 Oct 2020 05:11:26 +0000
3	Смертность при коронавирусе ускорилась во время второй волны	Специалисты установили, что с начала пандемии и до августа пациенты умирали в среднем через 13 дней после появления первых симптомов COVID-19. Сейчас этот срок сократился до 7 дней. Ученые предположили, что негативная динамика связана с тем, что погибают преимущественно люди со слабым иммунитетом.	https://yandex.ru/news/story/Smertnost_pri_koronaviruse_uskorilas_vo_vremya_vtoroj_volny--2f9a01e3e65bb630c3e4aaf60270b08e?lang=ru&from=rss&wan=1&stid=n95RVfN7_yUPDppbeJDq	24 Oct 2020 14:10:24 +0000
4	Вирусолог назвал скрытый и неконтролируемый источник коронавируса	По словам академика, &quot;бессимптомники&quot; являются вирусовыделителями. То есть, хоть и сами не болеют, но инфекцию распространяют. Частицы вируса накапливаются во рту &quot;бессимптомника&quot;, передаваясь другим, в основном, воздушно-капельным путем, передает &quot;Парламентская газета&quot;.	https://yandex.ru/news/story/Virusolog_nazval_skrytyj_i_nekontroliruemyj_istochnik_koronavirusa--2c97e12f1671cdcc1c719f93f005d05f?lang=ru&from=rss&wan=1&stid=aFMF2iB1N5MckG3lrPYB	24 Oct 2020 09:55:00 +0000
5	Инфекционист назвал сроки стабилизации ситуации с коронавирусом в Москве	Инфекционист-вакцинолог Евгений Тимаков заявил, что эпидемиологическая ситуация по коронавирусной инфекции стабилизируется в Москве через одну-две недели, передает Федеральное агентство новостей. По словам специалиста, в России ситуация с Covid-19 стабилизируется не раньше, чем через месяц.	https://yandex.ru/news/story/Infekcionist_nazval_sroki_stabilizacii_situacii_s_koronavirusom_v_Moskve--6ba5b29594974381fa0b343cac6ab01f?lang=ru&from=rss&wan=1&stid=j5I3CEp8gpN1IdMifR7q	24 Oct 2020 12:51:00 +0000
6	Беглов перешел на удаленку после возможного контакта с заболевшими коронавирусом	«Губернатор Александр Беглов перешел на дистанционный режим работы из-за возможного контакта с лицами, чей тест на COVID-19 оказался положительным», — говорится в сообщении.	https://yandex.ru/news/story/Beglov_pereshel_na_udalenku_posle_vozmozhnogo_kontakta_s_zabolevshimi_koronavirusom--2bfd781f0ac779bf88fb56390756da6a?lang=ru&from=rss&wan=1&stid=ok4_WLx_DE9eqaed1lrU	24 Oct 2020 11:08:46 +0000
7	Футбольному клубу «Спартак» разрешили провести матч с «Ростовом» при зрителях	Ранее сообщалось, что на стадионе &quot;Открытие Арена&quot; матчи будут проводиться без зрителей из-за выявленных нарушений.	https://yandex.ru/news/story/Futbolnomu_klubu_Spartak_razreshili_provesti_match_s_Rostovom_pri_zritelyakh--11db3967fe73fc100ae67fd04b522bcb?lang=ru&from=rss&wan=1&stid=sfc6ZPjoGHBJ5PfbHkTq	24 Oct 2020 11:33:39 +0000
8	Минпромторг временно упростил работу системы маркировки лекарств	Российские власти приняли решение временно перевести систему маркировки лекарств в уведомительный режим работы из-за повышенного спроса на ряд противовирусных препаратов, сообщил глава Минпромторга Денис Мантуров.	https://yandex.ru/news/story/Minpromtorg_vremenno_uprostil_rabotu_sistemy_markirovki_lekarstv--671835548fcfb99f6ad3bd5d203d1886?lang=ru&from=rss&wan=1&stid=JaDEG2gNhT2flqHvUTVl	24 Oct 2020 10:08:40 +0000
9	Глава AmCham оценил падение ВВП России и США	Экономики России и США лучше среднего по миру переносят последствия пандемии коронавируса, падение ВВП в текущем году в обеих странах составит порядка 4%, заявил в интервью РИА Новости глава Американской торговой палаты в России (AmCham) Алексис Родзянко.	https://yandex.ru/news/story/Glava_AmCham_ocenil_padenie_VVP_Rossii_i_SSHA--8ef0ee98b2d7a9b1dca305ca412c8688?lang=ru&from=rss&wan=1&stid=pN425kdEzJMw0ZIUuYWg	24 Oct 2020 09:15:39 +0000
