	Title	Description	Links	Publication Date
0	Врач назвал главные ошибки при ношении масок	Названы главные ошибки ношения масок, которые могут привести к заражению коронавирусом. По словам руководителя ЛОР-клиники, кандидата медицинских наук Владимира Зайцева, маску нельзя носить на подбородке, она должна закрывать нос и рот, пишет ТАСС.	https://yandex.ru/news/story/Sobyanin_zayavil_o_nadezhde_na_snizhenie_zabolevaemosti_COVID-19_v_Moskve--f4771f834a375dc5af4504f310e44a64?lang=ru&from=rss&wan=1&stid=6SmmcKUA0UsL8GpeGoPe	25 Oct 2020 07:38:51 +0000
1	Собянин заявил о надежде на снижение заболеваемости COVID-19 в Москве	Динамика выявления новых случаев коронавирусной инфекции в Москве в течение последних двух недель позволяет надеяться, что заболеваемость будет снижаться. Об этом заявил мэр Сергей Собянин в эфире телеканала «Россия 1».	https://yandex.ru/news/story/V_Rossii_za_sutki_zaregistrirovany_165_tys._sluchaev_COVID-19--108ee7f7150d4a636bb0c9d74da37bc6?lang=ru&from=rss&wan=1&stid=Ov_vdILzVoabzFWDejzW	25 Oct 2020 05:30:18 +0000
2	В России за сутки зарегистрированы 16,5 тыс. случаев COVID-19	Общее число заразившихся составляет 1 497 167 человек. В России за последние сутки зафиксировали 16 521 случай заражения коронавирусной инфекцией, сообщает ТАСС со ссылкой на оперативный штаб. Согласно данным оперативного штаба, общее число заразившихся превышает 1 млн человек.	https://yandex.ru/news/story/Za_sutki_v_Kurskoj_oblasti_koronavirusom_zaboleli_110_chelovek--e3c4bf9f0d74a8d25c95d3ac6cc2c3df?lang=ru&from=rss&wan=1&stid=_TCqfAEXnTAO	24 Oct 2020 07:34:00 +0000
3	За сутки в Курской области коронавирусом заболели 110 человек	По данным федерального оперштаба, за минувшие сутки в Курске и области еще 110 человек заболели коронавирусом. Всего с начала пандемии ковид был выявлен у 10 182 курян.	https://yandex.ru/news/story/Vse_shkoly_Kemerovskoj_oblasti_perevodyat_na_distancionnoe_obuchenie--297a0fe1abcaa61a1036ef52391d4ac8?lang=ru&from=rss&wan=1&stid=oNXPHE7zg9_60OufT6R5	25 Oct 2020 07:32:04 +0000
4	ВГТУ перейдет на дистанционное обучение с 26 октября	Власти Кемеровской области приняли решение перевести все школы региона на дистанционное обучение из-за ситуации с коронавирусной инфекцией COVID-19.	https://yandex.ru/news/story/V_Rossii_za_sutki_vyyavili_16_710_novykh_sluchaev_koronavirusa--d0758d79b7610ad588f35ba040808001?lang=ru&from=rss&wan=1&stid=NgKedB8yIEh2L3DuHFJu	23 Oct 2020 17:09:06 +0000
5	В Волжске за сутки зафиксировано 8 случаев заражения коронавирусом, в Волжском районе - 1	За прошедшие сутки в России выявлено 16 710 новых случаев коронавируса, общее число случаев увеличилось до 1 513 877, сообщает оперативный штаб.	https://yandex.ru/news/story/Vrach_nazval_opasnye_posledstviya_samolecheniya_pri_koronaviruse--cf733e464f74354b924d3e04c1e407c1?lang=ru&from=rss&wan=1&stid=Elc6-WdpORGPGknnz6oL	22 Oct 2020 10:06:41 +0000
6	Врач назвал опасные последствия самолечения при коронавирусе	Врач аллерголог-онкоиммунолог Даниил Щепеляев заявил, что бесконтрольный прием противовирусных препаратов может привести к опасным последствиям для иммунной системы человека.	https://yandex.ru/news/story/CHislo_zarazivshikhsya_koronavirusom_v_Rossii_prevysilo_15_mln--076d9ca63cbfc5bfae4e606bb2043244?lang=ru&from=rss&wan=1&stid=4yQo26_z044ctUl2vA5Z	25 Oct 2020 06:14:30 +0000
7	В России число заразившихся коронавирусом превысило 1,5 миллиона	Число заразившихся коронавирусом в России увеличилось за сутки на 16 710, до 1 513 877. Об этом сообщили журналистам в воскресенье в оперативном штабе по борьбе с COVID-19. В относительном выражении прирост, по данным штаба, два дня составляет 1,1%.	https://yandex.ru/news/story/Za_poslednie_sutki_v_Rossii_vyyavili_16_710_novykh_sluchaev_zarazheniya_koronavirusom--baa1fc45ea3556a3dace8e4aa96d373a?lang=ru&from=rss&wan=1&stid=O0tYxXjUda9OM8iDK3dW	25 Oct 2020 07:52:56 +0000
8	В России за сутки выявили 16 710 новых случаев коронавируса	В воскресенье, 25 октября, в Пензенской области выявили еще 177 случаев коронавирусной инфекции. Об этом сообщили в московском оперативном штабе. Общее число заразившихся в регионе составило 14 243.	https://yandex.ru/news/story/Vrach_nazval_glavnye_oshibki_pri_noshenii_masok--bf219759ec9802171d0f352b6cc9b393?lang=ru&from=rss&wan=1&stid=4iwvqf6Ds-ljz7FOisJc	25 Oct 2020 07:30:53 +0000
9	Собянин оценил соблюдение мер по борьбе с коронавирусом	Меры властей по борьбе с распространением коронавирусной инфекции москвичи восприняли и выполняют.	https://yandex.ru/news/story/Sobyanin_ocenil_soblyudenie_mer_po_borbe_s_koronavirusom--3079549d240e9a9af355488a65953939?lang=ru&from=rss&wan=1&stid=TKg5brIz22lROeQu8r59	25 Oct 2020 06:25:03 +0000
10	Онищенко спрогнозировал спад заболеваемости COVID-19 к концу года	Заболеваемость COVID-19 в России может пойти на снижение в ноябре 2020 — январе 2021 года. А при соблюдении всех противоэпидемических мер даже раньше. Об этом заявил бывший главный санитарный врач России, академик РАН и первый зампред комитета Госдумы по образованию Геннадий Онищенко, передает ТАСС.	https://yandex.ru/news/story/Onishhenko_sprognoziroval_spad_zabolevaemosti_COVID-19_k_koncu_goda--b46e0e2ce16d31d7ead6c9b1f0c87a35?lang=ru&from=rss&wan=1&stid=8ORn6VVT0ceEkhTrDOhL	25 Oct 2020 06:30:35 +0000
11	Названы российские регионы с самым быстрым ростом числа заражений коронавирусом	В число субъектов, где положение названо стабильным, вошел лишь один регион Южного федерального округа - Краснодарский край. Что касается «темно-красной» зоны, где коэффициент распространения COVID-19 превышает 1,2, также вошел регион ЮФО - Севастополь.	https://yandex.ru/news/story/Kuban_voshla_v_chislo_regionov_priznannykh_stabilnymi_po_COVID-19--520d3d17599815d8159e9db6fc3b42cc?lang=ru&from=rss&wan=1&stid=d8Rv	24 Oct 2020 01:31:06 +0000
12	Густо место: сможет ли Москва заменить мигрантов жителями регионов	В текущей ситуации жители регионов вряд ли массово отправятся работать в Москву из-за невысокого уровня оплаты труда в сферах, где были заняты мигранты, уверен научный сотрудник Центра социальной демографии Института социально-политических исследований РАН Леонид Рыбаковский.	https://yandex.ru/news/story/Gusto_mesto_smozhet_li_Moskva_zamenit_migrantov_zhitelyami_regionov--ab4dae3b4afcca61e999cf850b85ad05?lang=ru&from=rss&wan=1&stid=BWlnBEfDSi7WOkWlrQlF	22 Oct 2020 21:02:00 +0000
13	Инфекционист Тимаков предупредил о сохранении активности коронавируса на ближайшие годы	Вакцинолог и врач-педиатр Евгений Тимаков спрогнозировал дальнейшее поведение коронавирусной инфекции в ближайшие несколько лет. По словам инфекциониста, вирус будет продолжать сохранять активность как минимум 4 года, информирует «РИА Новости».	https://yandex.ru/news/story/Infekcionist_Timakov_predupredil_o_sokhranenii_aktivnosti_koronavirusa_na_blizhajshie_gody--356716215c8e8d98e9516a9749e25611?lang=ru&from=rss&wan=1&stid=Mt8JAwMSj248KbyZffvu	25 Oct 2020 06:48:42 +0000
